Statistical profiling result from v8.log, (98761 ticks, 525 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
    525    0.5%

 [Shared libraries]:
   ticks  total  nonlib   name
     10    0.0%    0.0%  KeyedStoreIC:  {878}
     10    0.0%    0.0%  Handler: host {1}
     10    0.0%    0.0%  Handler: hasOwnProperty {NaN}
     10    0.0%    0.0%  Handler: Array
     10    0.0%    0.0%  Handler: $toObject
      9    0.0%    0.0%  StorePolymorphicIC: _changeFactor {3}
      9    0.0%    0.0%  LazyCompile: ~Receiver.expectHeader /opt/box/node_modules/ws/lib/Receiver.js:129:43
      9    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:250:35
      9    0.0%    0.0%  LazyCompile: ~<anonymous> /opt/box/node_modules/ws/lib/Sender.js:119:37
      9    0.0%    0.0%  LazyCompile: *parseInt native v8natives.js:37:24
      9    0.0%    0.0%  LazyCompile: *onwrite _stream_writable.js:314:17
      9    0.0%    0.0%  LazyCompile: *afterWrite _stream_writable.js:342:20
      9    0.0%    0.0%  LazyCompile: *PropertyDescriptor native v8natives.js:281:28
      9    0.0%    0.0%  LazyCompile: *Client.processors.16 /opt/box/node_modules/agario-client/agario-client.js:223:23
      9    0.0%    0.0%  LazyCompile: *Ball.setSize /opt/box/node_modules/agario-client/agario-client.js:699:22
      9    0.0%    0.0%  LazyCompile: *<anonymous> /opt/box/node_modules/ws/lib/Receiver.js:35:62
      9    0.0%    0.0%  Handler: setSize
      9    0.0%    0.0%  Handler: masked {4}
      9    0.0%    0.0%  Handler: error {68}
      9    0.0%    0.0%  Handler: error {19}
      9    0.0%    0.0%  Handler: emitEvent
      8    0.0%    0.0%  StorePolymorphicIC: update_tick
      8    0.0%    0.0%  LazyCompile: ~onbinary /opt/box/node_modules/ws/lib/WebSocket.js:820:46
      8    0.0%    0.0%  LazyCompile: ~Receiver.add /opt/box/node_modules/ws/lib/Receiver.js:78:34
      8    0.0%    0.0%  LazyCompile: *howMuchToRead _stream_readable.js:211:23
      8    0.0%    0.0%  LazyCompile: *bind native v8natives.js:1197:22
      8    0.0%    0.0%  LazyCompile: *afterConnect net.js:1027:22
      8    0.0%    0.0%  LazyCompile: *Url.format url.js:365:32
      8    0.0%    0.0%  LazyCompile: *ToObject native runtime.js:581:18
      8    0.0%    0.0%  LazyCompile: *IsInconsistentDescriptor native v8natives.js:195:34
      8    0.0%    0.0%  LazyCompile: *IsDataDescriptor native v8natives.js:187:26
      8    0.0%    0.0%  LazyCompile: *Hash crypto.js:47:14
      8    0.0%    0.0%  Handler: masked {7}
      8    0.0%    0.0%  Handler: fragmentedOperation {2}
      8    0.0%    0.0%  Handler: error {70}
      8    0.0%    0.0%  Handler: appear
      8    0.0%    0.0%  Handler: activeFragmentedOperation {2}
      8    0.0%    0.0%  Handler: An IC handler from the snapshot {9}
      8    0.0%    0.0%  Builtin: JSConstructStubApi
      7    0.0%    0.0%  Stub: ToBooleanStub(Null,String)
      7    0.0%    0.0%  Stub: StoreFieldStub {3}
      7    0.0%    0.0%  Stub: LoadFieldStub {3}
      7    0.0%    0.0%  Stub: LoadFieldStub {14}
      7    0.0%    0.0%  Stub: LoadFastElementStub {3}
      7    0.0%    0.0%  Stub: CompareICStub {15}
      7    0.0%    0.0%  StorePolymorphicIC: _buffer {5}
      7    0.0%    0.0%  LazyCompile: ~setPrototypeOf native v8natives.js:653:30
      7    0.0%    0.0%  LazyCompile: ~emitThree events.js:95:19
      7    0.0%    0.0%  LazyCompile: ~emitErr /opt/box/node_modules/socks/lib/socks-agent.js:87:26
      7    0.0%    0.0%  LazyCompile: ~Socket.destroy net.js:493:36
      7    0.0%    0.0%  LazyCompile: nextTickCallbackWithManyArgs node.js:460:42
      7    0.0%    0.0%  LazyCompile: *toString native v8natives.js:1026:26
      7    0.0%    0.0%  LazyCompile: *toLowerCase native string.js:533:29
